#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
